HouseID,Bedrooms,Basement,Floorplan,Location,Visited
-1,2,2,2,2,2
Visited
1,3,No,traditional,South,No
2,3,Yes,traditional,South,Yes
3,3,Yes,open,North,No
4,3,Yes,traditional,North,No
5,3,No,open,North,No
6,3,Yes,traditional,South,Yes
7,3,Yes,open,South,No
8,3,No,traditional,South,No
9,4,No,traditional,South,Yes
10,4,Yes,open,North,No
11,4,Yes,open,South,Yes
12,4,No,traditional,North,No
13,4,No,open,South,Yes
14,4,Yes,open,South,Yes
15,4,No,traditional,North,No
16,4,Yes,open,North,No
